tahun,wilayah_id,wilayah,sektor_kode,sektor,pdrb_wil,share_wil,share_nas,lq
2022,6310,Tanah Bumbu,B,Pertambangan dan Penggalian,6766.65,0.399902,0.076639,5.218
2022,6310,Tanah Bumbu,C,Industri Pengolahan,1526.84,0.090235,0.214034,0.4216
2022,6310,Tanah Bumbu,D,Pengadaan Listrik dan Gas,7.97,0.000471,0.010936,0.0431
2022,6310,Tanah Bumbu,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",17.8,0.001052,0.000915,1.1503
2022,6310,Tanah Bumbu,F,Konstruksi,949.44,0.056111,0.100446,0.5586
2022,6310,Tanah Bumbu,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1106.1,0.065369,0.13664,0.4784
2022,6310,Tanah Bumbu,H,Transportasi dan Pergudangan,1001.8,0.059205,0.043481,1.3616
2022,6310,Tanah Bumbu,I,Penyediaan Akomodasi dan Makan Minum,148.8,0.008794,0.031066,0.2831
2022,6310,Tanah Bumbu,J,Informasi dan Komunikasi,666.42,0.039385,0.067009,0.5878
2022,6310,Tanah Bumbu,K,Jasa Keuangan dan Asuransi,242.53,0.014333,0.042298,0.3389
2022,6310,Tanah Bumbu,L,Real Estat,367.06,0.021693,0.030276,0.7165
2022,6310,Tanah Bumbu,MN,Jasa Perusahaan,42.9,0.002535,0.019147,0.1324
2022,6310,Tanah Bumbu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",443.6,0.026216,0.03335,0.7861
2022,6310,Tanah Bumbu,P,Jasa Pendidikan,623.31,0.036837,0.031488,1.1699
2022,6310,Tanah Bumbu,Q,Jasa Kesehatan dan Kegiatan Sosial,171.49,0.010135,0.014415,0.7031
2022,6310,Tanah Bumbu,RSTU,Jasa Lainnya,126.19,0.007458,0.019628,0.38
2023,6310,Tanah Bumbu,A,"Pertanian, Kehutanan, dan Perikanan",2735.73,0.154216,0.123657,1.2471
2023,6310,Tanah Bumbu,B,Pertambangan dan Penggalian,7129.81,0.401914,0.077418,5.1915
2023,6310,Tanah Bumbu,C,Industri Pengolahan,1597.2,0.090036,0.21319,0.4223
2023,6310,Tanah Bumbu,D,Pengadaan Listrik dan Gas,8.62,0.000486,0.010921,0.0445
2023,6310,Tanah Bumbu,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",18.17,0.001024,0.000913,1.1217
2023,6310,Tanah Bumbu,F,Konstruksi,994.23,0.056046,0.100312,0.5587
2023,6310,Tanah Bumbu,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1140.94,0.064316,0.136375,0.4716
2023,6310,Tanah Bumbu,H,Transportasi dan Pergudangan,1132.88,0.063861,0.047169,1.3539
2023,6310,Tanah Bumbu,I,Penyediaan Akomodasi dan Makan Minum,162.51,0.009161,0.03253,0.2816
2023,6310,Tanah Bumbu,J,Informasi dan Komunikasi,712.13,0.040143,0.06863,0.5849
2023,6310,Tanah Bumbu,K,Jasa Keuangan dan Asuransi,255.24,0.014388,0.042186,0.3411
2023,6310,Tanah Bumbu,L,Real Estat,381.88,0.021527,0.029232,0.7364
2023,6310,Tanah Bumbu,MN,Jasa Perusahaan,45.53,0.002567,0.019729,0.1301
2023,6310,Tanah Bumbu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",463.98,0.026155,0.032225,0.8116
2023,6310,Tanah Bumbu,P,Jasa Pendidikan,651.85,0.036745,0.030504,1.2046
