provinsi,sektor_kode,sektor,nilai,bulan
Jambi,MN,Jasa Perusahaan,661968072218,2026-03
Jambi,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",10642018,2026-03
Jambi,P,Jasa Pendidikan,56633395643,2026-03
Jambi,Q,Jasa Kesehatan dan Kegiatan Sosial,189512662826,2026-03
Jambi,RSTU,Jasa Lainnya,989564419287,2026-03
Jambi,RT,Rumah Tangga (konsumsi),25034441282684,2026-03
Jawa Barat,A,"Pertanian, Kehutanan, dan Perikanan",19411419495445,2026-03
Jawa Barat,B,Pertambangan dan Penggalian,4683214175862,2026-03
Jawa Barat,C,Industri Pengolahan,65760544508819,2026-03
Jawa Barat,D,Pengadaan Listrik dan Gas,2873173716085,2026-03
Jawa Barat,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",616167024037,2026-03
Jawa Barat,F,Konstruksi,21878682486972,2026-03
Jawa Barat,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,105415331989877,2026-03
Jawa Barat,H,Transportasi dan Pergudangan,20354621222955,2026-03
Jawa Barat,I,Penyediaan Akomodasi dan Makan Minum,12914923850488,2026-03
Jawa Barat,J,Informasi dan Komunikasi,4801032035236,2026-03
Jawa Barat,K,Jasa Keuangan dan Asuransi,12537470835823,2026-03
Jawa Barat,L,Real Estat,13923054754118,2026-03
Jawa Barat,MN,Jasa Perusahaan,5240608605277,2026-03
Jawa Barat,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",312054460095,2026-03
Jawa Barat,P,Jasa Pendidikan,3668185721814,2026-03
Jawa Barat,Q,Jasa Kesehatan dan Kegiatan Sosial,8123487893821,2026-03
Jawa Barat,RSTU,Jasa Lainnya,10348665397628,2026-03
Jawa Barat,RT,Rumah Tangga (konsumsi),335961928996826,2026-03
Jawa Tengah,A,"Pertanian, Kehutanan, dan Perikanan",29083321780035,2026-03
Jawa Tengah,B,Pertambangan dan Penggalian,424156837235,2026-03
Jawa Tengah,C,Industri Pengolahan,54931832290406,2026-03
Jawa Tengah,D,Pengadaan Listrik dan Gas,281163882967,2026-03
Jawa Tengah,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",167178920297,2026-03
Jawa Tengah,F,Konstruksi,19412801148297,2026-03
Jawa Tengah,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,114533868612584,2026-03
Jawa Tengah,H,Transportasi dan Pergudangan,4719310283152,2026-03
Jawa Tengah,I,Penyediaan Akomodasi dan Makan Minum,12197078351683,2026-03
Jawa Tengah,J,Informasi dan Komunikasi,484489479172,2026-03
Jawa Tengah,K,Jasa Keuangan dan Asuransi,4304892687927,2026-03
Jawa Tengah,L,Real Estat,5922287947443,2026-03
Jawa Tengah,MN,Jasa Perusahaan,3646972796680,2026-03
Jawa Tengah,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",274267639767,2026-03
Jawa Tengah,P,Jasa Pendidikan,2084622415123,2026-03
Jawa Tengah,Q,Jasa Kesehatan dan Kegiatan Sosial,5561508982437,2026-03
Jawa Tengah,RSTU,Jasa Lainnya,10066978766879,2026-03
Jawa Tengah,RT,Rumah Tangga (konsumsi),117723574399069,2026-03
Jawa Timur,A,"Pertanian, Kehutanan, dan Perikanan",46100532186863,2026-03
Jawa Timur,B,Pertambangan dan Penggalian,2846375795532,2026-03
Jawa Timur,C,Industri Pengolahan,120768123267620,2026-03
Jawa Timur,D,Pengadaan Listrik dan Gas,4618820214071,2026-03
Jawa Timur,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",656133444191,2026-03
Jawa Timur,F,Konstruksi,21689215021501,2026-03
